system:index,depth,ec,pid,longitude,lattitude
0,surface,2.11,P1,80.45,15.9167
1,surface,3.185,P2,80.4544,15.9196
2,surface,0.59,P3,80.4455,15.9351
3,surface,1.685,P4,80.4461,15.9355
4,surface,1.04,P5,80.4462,15.9365
5,surface,4.195,P6,80.4417,15.9557
6,surface,3.89,P7,80.4419,15.9563
7,surface,3.47,P8,80.4409,15.9564
8,surface,0.235,P9,80.4826,15.8843
9,surface,0.145,P10,80.4835,15.8851
10,surface,6,P11,80.5003,15.8535
11,surface,4.86,P12,80.4983,15.8529
12,surface,6,P13,80.4938,15.8527
13,surface,0.27,P14,80.5069,15.844
14,surface,0.3,P15,80.4947,15.8624
15,surface,0.09,P16,80.4748,15.8853
16,surface,0.585,P17,80.4751,15.8849
17,surface,0.24,P18,80.4758,15.8848
18,surface,0.135,P19,80.476,15.8842
19,surface,0.215,P20,80.4766,15.8842
20,surface,0.31,P21,80.4657,15.8847
21,surface,0.24,P22,80.4662,15.8837
22,surface,0.125,P23,80.4664,15.8834
23,surface,0.675,P24,80.4849,15.8998
24,surface,0.435,P25,80.485,15.8992
25,surface,0.145,P26,80.4876,15.8996
26,surface,0.58,P27,80.4896,15.8984
27,surface,1.285,P28,80.4897,15.8977
28,surface,0.46,P29,80.4946,15.8982
29,surface,0.5,P30,80.4944,15.8978
30,surface,0.195,P31,80.4956,15.8975
